rooms,baths,area,lat,lng,amenity_count,has_swimming_pool,has_gym_or_health_club,has_covered_parking,has_lawn_or_garden,has_security_staff,has_balcony_or_terrace,has_jacuzzi,has_sauna,has_cctv_security,price_per_sqm,rooms_x_baths,area_per_room,amenity_density,total_amenities,city_en_enc,neighbourhood_en_enc,province_en_enc,furnishingStatus_furnished,furnishingStatus_unfurnished,furnishingStatus_unknown,completionStatus_completed,completionStatus_under-construction,property_type_en_Apartments,property_type_en_Cabins,property_type_en_Chalets,property_type_en_Duplexes,property_type_en_Hotel Apartments,property_type_en_Lands,property_type_en_Other Residential,property_type_en_Penthouses,property_type_en_Roofs,property_type_en_Rooms,property_type_en_Townhouses,property_type_en_Twin Houses,property_type_en_Villas,property_type_en_iVillas
2,2,145.0,29.9937516,30.9323647,6,0,0,0,0,1,1,0,0,1,26206.896551724138,4,72.5,4.137931034482759,3,16.10616420501588,15.109392850014181,16.01134442508541,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
4,3,450.0,29.98644,31.16651,4,0,0,0,0,1,0,0,0,0,12222.222222222223,12,112.5,0.8888888888888888,1,14.88022163978423,14.751604309291395,16.01134442508541,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
3,3,145.0,29.91637,31.06103,0,0,0,0,0,0,0,0,0,0,31000.0,9,48.333333333333336,0.0,0,15.279199431073042,15.10749451433816,16.01134442508541,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2,2,108.0,30.0139101,31.5062339,0,0,0,0,0,0,0,0,0,0,139332.4537037037,4,54.0,0.0,0,16.282847171369255,16.29204904211537,16.066802461833923,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,2,64.0,31.0724538,28.2011747,46,1,1,1,1,1,1,1,1,1,156062.5,2,64.0,71.875,9,16.345788916607955,16.264790116464905,16.345788916607955,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
5,3,1021.0,30.917731,30.0636166,10,0,0,0,1,1,1,0,0,0,53868.75612144956,15,204.2,0.979431929480901,3,16.02378508137718,17.622173069956816,16.01134442508541,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
6,4,379.0,29.550836851327,30.867589850082,0,0,0,0,0,0,0,0,0,0,51197.88918205805,24,63.166666666666664,0.0,0,16.552148280706213,16.552148280706213,15.851522672265068,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
5,5,363.0,29.9842656,31.540594,8,0,0,1,1,0,0,0,0,0,89531.68044077135,25,72.6,2.203856749311295,2,16.282847171369255,16.29204904211537,16.066802461833923,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
3,3,200.0,30.0202659,31.5409692,24,1,1,1,1,1,1,0,0,0,64979.955,9,66.66666666666667,12.0,6,16.282847171369255,16.29204904211537,16.066802461833923,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
3,3,175.0,29.9543184,31.726229,23,1,1,1,1,1,1,0,0,1,37142.857142857145,9,58.333333333333336,13.142857142857142,7,15.616501940217244,15.687312888712007,16.066802461833923,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
1,1,65.0,31.0952654,27.9249993,0,0,0,0,0,0,0,0,0,0,132307.6923076923,1,65.0,0.0,0,16.345788916607955,16.264790116464905,16.345788916607955,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
